Event ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation_date,report_date,Species,Diagnosis Source,Humans Affected,Human Deaths,Diagnosis Status
350488,Influenza - Avian,;H5N1 HPAI;,-20.787022,-65.714583,COTAGAITA_IRICCINA,Bolivia,Americas,2023-02-19T00:00:00Z,2023-04-07T00:00:00Z,"Domestic,Unspecified bird,",OIE,,,Confirmed
352355,Influenza - Avian,;H5 HPAI;,-26,30.4,HPAI_H5_W_2023_004,South Africa,Africa,2023-03-14T00:00:00Z,2023-05-04T00:00:00Z,"Environmental sample,Unspecified bird,",OIE,,,Confirmed
348598,Influenza - Avian,;H5N1 HPAI;,47.185,8.275,BALDEGGERSEE,Switzerland,Europe,2023-03-03T00:00:00Z,2023-03-16T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
348929,Influenza - Avian,;H5N1 HPAI;,47.054,8.315,VIERWALDSTÄTTERSEE,Switzerland,Europe,2023-03-14T00:00:00Z,2023-03-23T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
348602,Influenza - Avian,;H5N1 HPAI;,46.99,6.933,LAC DE NEUCHÂTEL,Switzerland,Europe,2023-03-02T00:00:00Z,2023-03-16T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
348597,Influenza - Avian,;H5N1 HPAI;,46.966,6.873,LAC DE NEUCHÂTEL,Switzerland,Europe,2023-03-03T00:00:00Z,2023-03-16T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
348588,Influenza - Avian,;H5N1 HPAI;,46.996,6.952,LAC DE NEUCHÂTEL,Switzerland,Europe,2023-03-07T00:00:00Z,2023-03-16T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
348940,Influenza - Avian,;H5N1 HPAI;,46.939,6.852,LAC DE NEUCHÂTEL,Switzerland,Europe,2023-03-09T00:00:00Z,2023-03-23T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
350475,Influenza - Avian,;H5N1 HPAI;,47.01,6.985,LAC DE NEUCHÂTEL,Switzerland,Europe,2023-03-27T00:00:00Z,2023-04-06T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
348930,Influenza - Avian,;H5N1 HPAI;,46.97,6.873,LAC DE NEUCHÂTEL,Switzerland,Europe,2023-03-13T00:00:00Z,2023-03-23T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
348931,Influenza - Avian,;H5N1 HPAI;,46.981,6.903,LAC DE NEUCHÂTEL,Switzerland,Europe,2023-03-13T00:00:00Z,2023-03-23T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
350892,Influenza - Avian,;H5N1 HPAI;,49.00751,14.44073,VRBENSKÉ RYBNÍKY,Czech Republic,Europe,2023-04-05T00:00:00Z,2023-04-14T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
352481,Influenza - Avian,;H5N1 HPAI;,48.86712,16.92336,NOVÝ PODVOROV,Czech Republic,Europe,2023-04-24T00:00:00Z,2023-05-05T00:00:00Z,"Wild,Mute Swan:Cygnus olor(Anatidae),",OIE,,,Confirmed
350470,Influenza - Avian,;H5N1 HPAI;,48.82991,16.46443,Jevišovka,Czech Republic,Europe,2023-03-20T00:00:00Z,2023-04-05T00:00:00Z,"Wild,Mute Swan:Cygnus olor(Anatidae),",OIE,,,Confirmed
350893,Influenza - Avian,;H5N1 HPAI;,49.35412,17.3697,CHROPYN ,Czech Republic,Europe,2023-04-05T00:00:00Z,2023-04-14T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
350894,Influenza - Avian,;H5N1 HPAI;,48.89306,17.0559,MUT NICE,Czech Republic,Europe,2023-04-03T00:00:00Z,2023-04-14T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
348594,Influenza - Avian,;H5N1 HPAI;,47.6969,8.6304,SCHAFFHAUSEN,Switzerland,Europe,2023-03-04T00:00:00Z,2023-03-16T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
348942,Influenza - Avian,;H5N1 HPAI;,47.195,8.851,LACHEN,Switzerland,Europe,2023-03-08T00:00:00Z,2023-03-23T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
352480,Influenza - Avian,;H5N1 HPAI;,50.47021,14.37475,ŠT TÍ,Czech Republic,Europe,2023-05-03T00:00:00Z,2023-05-05T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
352039,Influenza - Avian,;H5N1 HPAI;,50.4495,14.33285,RA ICE,Czech Republic,Europe,2023-04-12T00:00:00Z,2023-04-28T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
352482,Influenza - Avian,;H5N1 HPAI;,49.87921,18.33005,VRBICE HE MANICKÝ RYBNÍK,Czech Republic,Europe,2023-04-24T00:00:00Z,2023-05-05T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
352483,Influenza - Avian,;H5N1 HPAI;,49.86427,18.38799,RYCHVALD,Czech Republic,Europe,2023-04-24T00:00:00Z,2023-05-05T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
352038,Influenza - Avian,;H5N1 HPAI;,49.41883,17.32412,TROUBKY,Czech Republic,Europe,2023-04-18T00:00:00Z,2023-04-28T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
352348,Influenza - Avian,;H5N1 HPAI;,49.85089,18.40207,Rychvald,Czech Republic,Europe,2023-04-30T00:00:00Z,2023-05-02T00:00:00Z,"Domestic,Turkey,",OIE,,,Confirmed
350636,Influenza - Avian,;H5N1 HPAI;,13.2291,-16.6714,Tanji,Gambia,Africa,2023-03-31T00:00:00Z,2023-04-08T00:00:00Z,"Wild,Grey headed gull (Chroicocephalus cirrocephalus),Wild,Caspian gull (Larus cachinnans),Wild,Royal tern,",OIE,,,Confirmed
348592,Influenza - Avian,;H5N1 HPAI;,47.648,9.194,KREUZLINGEN,Switzerland,Europe,2023-03-04T00:00:00Z,2023-03-16T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
348591,Influenza - Avian,;H5N1 HPAI;,47.623,9.27,ALTNAU,Switzerland,Europe,2023-03-06T00:00:00Z,2023-03-16T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
348600,Influenza - Avian,;H5N1 HPAI;,47.674,9.085,ERMATINGEN,Switzerland,Europe,2023-03-02T00:00:00Z,2023-03-16T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
348601,Influenza - Avian,;H5N1 HPAI;,47.66,8.855,STEIN AM RHEIN,Switzerland,Europe,2023-03-02T00:00:00Z,2023-03-16T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
350402,Influenza - Avian,;H5N1 HPAI;,47.651,8.894,ÖHNINGEN,Switzerland,Europe,2023-03-20T00:00:00Z,2023-04-04T00:00:00Z,"Wild,Laridae (unidentified):Laridae (incognita)(Laridae),",OIE,,,Confirmed
350399,Influenza - Avian,;H5N1 HPAI;,47.6693,9.1665,KONSTANZ,Switzerland,Europe,2023-03-20T00:00:00Z,2023-04-04T00:00:00Z,"Wild,Laridae (unidentified):Laridae (incognita)(Laridae),",OIE,,,Confirmed
350616,Influenza - Avian,;H5N1 HPAI;,22.422,106.443,Thach An,Viet Nam,Asia,,2023-03-29T00:00:00Z,"Domestic,Unspecified bird,",National authorities,,,Confirmed
349339,Influenza - Avian,;H5N1 HPAI;,49.87087,13.99635,Libomyšl,Czech Republic,Europe,2023-03-22T00:00:00Z,2023-03-27T00:00:00Z,"Domestic,Chicken,",OIE,,,Confirmed
350468,Influenza - Avian,;H5N1 HPAI;,50.4123,14.99436,Židn ves,Czech Republic,Europe,2023-04-04T00:00:00Z,2023-04-05T00:00:00Z,"Domestic,Unspecified bird,",OIE,,,Confirmed
350469,Influenza - Avian,;H5N1 HPAI;,50.27321,14.1462,Hobšovický rybník,Czech Republic,Europe,2023-04-03T00:00:00Z,2023-04-05T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
350617,Influenza - Avian,,9.095,104.968,Tran Van Thoi,Viet Nam,Asia,,2023-04-07T00:00:00Z,"Domestic,Unspecified bird,",National authorities,,,Confirmed
350619,Influenza - Avian,,9.192,105.132,Ca Mau,Viet Nam,Asia,,2023-04-07T00:00:00Z,"Domestic,Unspecified bird,",National authorities,,,Confirmed
350620,Influenza - Avian,,9.355,105.085,Thoi Binh,Viet Nam,Asia,,2023-04-07T00:00:00Z,"Domestic,Unspecified bird,",National authorities,,,Confirmed
350618,Influenza - Avian,,9.408,104.963,U Minh,Viet Nam,Asia,,2023-04-07T00:00:00Z,"Domestic,Unspecified bird,",National authorities,,,Confirmed
352037,Influenza - Avian,;H5N1 HPAI;,50.10743,15.85629,BOHUMILE ,Czech Republic,Europe,2023-04-24T00:00:00Z,2023-04-28T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
348939,Influenza - Avian,;H5N1 HPAI;,46.856,6.732,CONSICE,Switzerland,Europe,2023-03-09T00:00:00Z,2023-03-23T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
348599,Influenza - Avian,;H5N1 HPAI;,46.504,6.642,LAC LÉMAN,Switzerland,Europe,2023-03-02T00:00:00Z,2023-03-16T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
348941,Influenza - Avian,;H5N1 HPAI;,46.805,6.641,LAC DE NEUCHÂTEL,Switzerland,Europe,2023-03-08T00:00:00Z,2023-03-23T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
348596,Influenza - Avian,;H5N1 HPAI;,46.456,6.8517,LAC LÉMAN,Switzerland,Europe,2023-03-03T00:00:00Z,2023-03-16T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
